,word,previous_word,next_word,artist,song_type,song,aae_feature,time,social_group
4511,for,love , you,rollingstones,original,little_by_little,post-vocalic r,1960s,nonAA_nonUS
29091,and,baby , I,philipsayce,cover,give_me_time,post-consonantal d,2010s,nonAA_US
4208,I,yes , never,fleetwoodmac,original,merry_go_round,ai monophthongization,1960s,nonAA_nonUS
24342,time,s , to,danpatlansky,original,snake_oil_city,ai monophthongization,2010s,nonAA_nonUS
4678,don't,, say,rollingstones,original,the_spider_and_the_fly,post-consonantal t,1960s,nonAA_nonUS
13385,my,lost , money,ericclapton,cover,hard_times,ai monophthongization,1980s,nonAA_nonUS
8501,before,honey , I,paulbutterfield,cover,driftin_and_driftin,post-vocalic r,1960s,nonAA_US
4974,walking ,,,savoybrown,cover,walking_by_myself,ing ultimas,1960s,nonAA_nonUS
18480,find,exhibition , out,jjcale,original,after_midnight,post-consonantal d,1980s,nonAA_US
8120,better,you , need,janisjoplin,original,kozmic_blues,post-vocalic r,1960s,nonAA_US
13736,you're,shape , in,ericclapton,original,the_shape_youre_in,post-vocalic r,1980s,nonAA_nonUS
25417,around ,,,joanneshawtaylor,cover,stop_messin_around,post-consonantal d,2010s,nonAA_nonUS
9356,night,whole , long,stevemiller,original,steppin_stone,ai monophthongization,1960s,nonAA_US
16698,can't,I , hear,thebluesband,original,find_yourself_another_fool,post-consonantal t,1980s,nonAA_nonUS
4770,downchild,a , baby,savoybrown,cover,mr_downchild,ai monophthongization,1960s,nonAA_nonUS
10806,and,, I,johnleehooker,original,boogie_chillen,post-consonantal d,1980s,AA
7609,I ,,,janisjoplin,cover,piece_of_my_heart,ai monophthongization,1960s,nonAA_US
29042,I,mine ,'m,philipsayce,cover,give_me_time,ai monophthongization,2010s,nonAA_US
26749,more ,,,allyvenable,cover,backwater_blues,post-vocalic r,2010s,nonAA_US
10649,right,me , to,johnleehooker,cover,it_serves_me_right,ai monophthongization,1980s,AA
22693,I,and ,'m,shemekiacopeland,cover,cant_let_go,ai monophthongization,2010s,AA
10984,I,when , saw,kokotaylor,cover,id_rather_go_blind,ai monophthongization,1980s,AA
12481,around,feeling , in,lutherallison,original,walking_papers,post-consonantal d,1980s,AA
16133,you're,fly , my,thebluesband,cover,talk_to_me_baby,post-vocalic r,1980s,nonAA_nonUS
9369,sleeping,s , through,stevemiller,original,steppin_stone,ing ultimas,1960s,nonAA_US
6187,I,and ,'m,allmanbrothers,cover,hoochie_coochie_man,ai monophthongization,1960s,nonAA_US
25482,don't,cry , you,joanneshawtaylor,cover,summertime,post-consonantal t,2010s,nonAA_nonUS
4569,morning ,,,rollingstones,original,midnight_rambler,ing ultimas,1960s,nonAA_nonUS
6662,dying ,,,allmanbrothers,original,whipping_post,ai monophthongization,1960s,nonAA_US
28676,aching ,,,mattschofield,original,what_i_wanna_hear,ing ultimas,2010s,nonAA_US
29415,ain't,I , got,philipsayce,original,on_the_road_again,post-consonantal t,2010s,nonAA_US
16987,your,and , pretty,bonnieraitt,cover,green_lights,post-vocalic r,1980s,nonAA_US
3522,I,but , don,cream,cover,sitting_on_top_of_the_world,ai monophthongization,1960s,nonAA_nonUS
16699,hear,t , you,thebluesband,original,find_yourself_another_fool,post-vocalic r,1980s,nonAA_nonUS
22517,I,,'m,shemekiacopeland,cover,cant_let_go,ai monophthongization,2010s,AA
24048,baptist,a , preacher,danpatlansky,cover,preachin_blues,post-consonantal t,2010s,nonAA_nonUS
13747,trying,not , to,ericclapton,original,the_shape_youre_in,ing ultimas,1980s,nonAA_nonUS
1999,her,shot , down,jimihendrix,cover,hey_joe,post-vocalic r,1960s,AA
29245,bitter,so , monday,philipsayce,original,bitter_monday,post-vocalic r,2010s,nonAA_US
14319,her,change , for,jeffhealey,original,my_little_girl,post-vocalic r,1980s,nonAA_nonUS
9279,I,, remember,stevemiller,original,junior_saw_it_happen,ai monophthongization,1960s,nonAA_US
5112,I,when , reach,savoybrown,original,a_little_more_wine,ai monophthongization,1960s,nonAA_nonUS
15133,found ,,,johnmayall,original,a_big_man,post-consonantal d,1980s,nonAA_nonUS
11885,fight,to , in,lutherallison,cover,freedom,ai monophthongization,1980s,AA
11764,and,dubbie) , crying,kokotaylor,original,jump_for_joy,post-consonantal d,1980s,AA
24572,buy,gonna , me,davyknowles,cover,outside_woman_blues,ai monophthongization,2010s,nonAA_nonUS
2494,Lord,, knows,jimihendrix,original,voodoo_child,post-consonantal d,1960s,AA
16684,find,, yourself,thebluesband,original,find_yourself_another_fool,ai monophthongization,1980s,nonAA_nonUS
10448,your,on , floor,johnleehooker,cover,crawlin_kingsnake,post-vocalic r,1980s,AA
28413,I,baby , want,mattschofield,original,dont_know_what_id_do,ai monophthongization,2010s,nonAA_US
3693,are,seas , dried,cream,original,sunshine_of_your_love,post-vocalic r,1960s,nonAA_nonUS
13828,my,found , old,jeffhealey,cover,blue_jean_blues,ai monophthongization,1980s,nonAA_nonUS
21499,I,, believe,kingfish,cover,hard_times,ai monophthongization,2010s,AA
13528,ever,,,ericclapton,original,lay_down_sally,post-vocalic r,1980s,nonAA_nonUS
15086,ever,gonna , fool,johnmayall,cover,the_last_time,post-vocalic r,1980s,nonAA_nonUS
15421,wife,his , two,rorygallagher,cover,dont_start_me_talking,ai monophthongization,1980s,nonAA_nonUS
26696,rains,it , five,allyvenable,cover,backwater_blues,third person singular,2010s,nonAA_US
24086,she's,, not,danpatlansky,cover,you_upset_me_baby,zero copula,2010s,nonAA_nonUS
15953,fly,I , off,rorygallagher,original,off_the_handle,ai monophthongization,1980s,nonAA_nonUS
24656,your,with , women,davyknowles,cover,outside_woman_blues,post-vocalic r,2010s,nonAA_nonUS
16089,you're,thing , sitting,thebluesband,cover,diddy_wah_diddy,post-vocalic r,1980s,nonAA_nonUS
22125,waiting,me , for,kirkfletcher,cover,found_love,ing ultimas,2010s,AA
