,aae_realization
4511,0
29091,1
4208,1
24342,1
4678,0
13385,1
8501,0
4974,1
18480,0
8120,0
13736,0
25417,1
9356,0
16698,1
4770,0
10806,1
7609,1
29042,1
26749,1
10649,0
22693,1
10984,1
12481,1
16133,0
9369,1
6187,1
25482,0
4569,1
6662,0
28676,1
29415,1
16987,1
3522,0
16699,0
22517,1
24048,0
13747,1
1999,0
29245,1
14319,0
9279,1
5112,1
15133,1
11885,0
11764,1
24572,1
2494,0
16684,0
10448,1
28413,1
3693,0
13828,1
21499,1
13528,1
15086,1
15421,1
26696,0
24086,0
15953,1
24656,1
16089,1
22125,1
11232,1
23966,1
16948,0
16400,1
29563,1
17368,1
9901,0
2585,1
11149,0
15589,0
10140,1
29495,1
14339,1
24688,1
20062,1
4228,1
17062,1
24931,1
4428,1
10994,1
12617,1
7109,0
8218,1
18654,0
2750,1
6625,1
2166,1
1372,0
23201,1
300,1
23664,1
3958,0
18006,1
5846,1
24032,1
2782,0
11698,1
8516,0
28301,1
18500,1
9325,1
17550,1
25008,0
22219,0
13373,1
28334,1
14466,0
19849,1
28021,1
22903,0
25642,0
210,1
9497,1
17855,0
7972,1
13616,1
10996,1
16214,1
2220,1
20892,1
23975,1
11526,0
24518,1
18697,1
3312,0
21864,0
2351,1
7940,0
20151,1
631,1
27702,0
7051,0
25435,1
22377,1
21455,1
29065,0
24155,1
4042,1
9127,1
27508,0
8661,1
10374,0
2876,1
3160,1
18835,1
19499,1
16165,1
8172,0
11415,0
692,1
13650,1
8346,0
9852,1
1172,0
9598,1
26953,0
4111,1
3426,1
17453,0
1224,1
13563,0
14747,1
18588,1
1832,1
10595,1
12126,0
24345,1
4819,1
15949,1
11491,1
8554,1
24197,1
20450,1
19566,1
2506,1
28090,1
22599,1
15158,1
6970,0
20129,1
54,1
23206,1
756,1
24080,1
3724,1
7590,1
23567,1
29274,1
1968,1
24374,1
15928,1
28560,0
4798,1
28827,1
14015,1
12171,0
18348,1
28007,1
18058,0
8114,0
26571,0
4072,0
17012,1
26742,1
6678,1
16581,1
8953,0
4287,1
922,1
29225,1
12600,1
13513,0
29096,1
29123,1
12767,1
15362,1
21334,1
19433,1
12706,1
7720,0
4311,0
30058,1
2148,1
12807,0
6181,1
27362,1
6277,1
21122,1
15169,1
15948,1
6336,1
20429,1
16502,1
7988,0
29208,1
23605,1
13609,0
3151,0
6991,1
21739,1
7670,1
7941,0
3912,1
11528,1
223,0
24494,1
12336,0
8927,1
23685,1
27299,1
25101,1
11615,1
14263,1
14013,1
12191,1
16538,1
26185,1
15510,1
1023,1
16905,1
13339,0
14205,0
24876,1
460,1
5,1
14975,1
9739,1
17293,1
10766,1
118,1
22003,1
25449,1
2906,1
26323,1
9204,1
21989,1
8672,0
24902,1
15146,1
29189,1
5478,0
11495,1
4159,1
19675,1
16270,1
17585,1
28851,1
14989,1
22148,0
28927,1
23157,0
25678,1
25679,1
14419,1
6874,1
28310,1
15197,1
8089,0
23574,1
26577,1
7399,0
11038,1
27091,1
14584,1
19690,0
22251,1
29765,1
14774,1
25296,1
5605,1
6219,1
6609,1
24366,0
4694,1
13210,1
25949,0
24707,1
9940,1
18253,1
1191,0
2661,1
16423,1
27880,1
15192,1
9125,1
22120,1
21878,1
735,1
1935,1
21491,0
14430,0
8294,1
9756,1
23062,1
14775,0
1198,0
17370,1
18737,1
17470,0
1998,0
25169,0
1551,0
27566,1
15770,0
14384,1
9875,1
2770,1
16928,1
2901,1
15119,1
21086,0
3438,1
11667,1
11866,0
23426,1
20922,1
6376,1
20767,1
26260,1
6729,1
9540,0
1412,0
11197,1
222,0
8835,1
24263,1
18119,1
14909,1
12823,0
27395,1
22043,1
13049,1
7147,1
20024,1
27397,1
19759,0
344,0
3389,1
26119,1
28609,0
10070,0
1644,1
18025,1
2666,0
21542,1
4662,1
4565,1
16344,1
22588,1
10636,1
19164,0
4984,1
8291,1
15075,0
22264,1
19730,1
12415,0
14623,1
24313,1
7491,0
23428,1
28244,1
3143,0
596,1
21277,1
10395,1
10119,1
29665,1
10838,0
10853,1
147,1
7411,0
16993,1
1757,1
17052,1
1566,0
14891,1
17025,1
4529,1
22862,1
29329,1
17843,0
29191,1
18542,1
19429,1
575,1
23311,1
22478,1
12504,1
19930,1
22840,0
29631,1
18419,1
587,1
21891,1
7634,0
3833,1
10551,1
14557,1
20708,1
8875,1
7572,0
6188,1
9357,0
24820,1
26850,0
19941,1
27426,0
10270,1
8981,1
677,0
29018,1
4727,1
6595,1
11765,1
6771,1
19960,1
18211,1
28707,1
24274,1
29974,1
3397,1
20574,1
8663,0
12615,1
7403,0
20826,1
16357,1
8954,1
6113,1
7415,1
12891,1
8834,1
6902,0
20906,0
24459,1
25857,1
6733,1
19893,1
8506,0
13352,0
24482,1
858,1
26620,1
16307,1
13364,0
22829,1
25896,1
23327,0
8632,0
414,1
2752,1
11420,0
22100,0
27276,0
11784,1
1665,1
24398,1
12486,1
20879,1
690,0
28280,1
7955,0
13592,1
22690,1
22300,1
6057,1
23209,1
9292,1
29935,1
12714,0
14843,1
4380,0
27551,1
16806,1
25269,1
20115,1
17704,0
25397,1
3172,0
12764,1
8371,1
11141,1
25477,0
19325,1
20613,1
16219,1
8364,0
10632,1
3819,1
2800,1
20092,1
20369,1
17175,1
