Color,Comment,Document group,Document name,Code,Beginning,End,Weight score,Segment,Modified by,Modified,Created by,Created,Area,Coverage %
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,post-vocalic r > r realization,2,2,0,there,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:09:25,5,0.91
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,auxiliary verb > isn't,2,2,0,is,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:27:03,2,0.36
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ing ultimas > in,2,2,0,nothing,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:08:15,7,1.27
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ai monophthongization > a:,2,2,0,I,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:08:44,1,0.18
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,post-vocalic r > r deletion,3,3,0,here,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:09:07,4,0.72
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ai monophthongization > a:,3,3,0,cry ,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:09:12,3,0.54
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,post-vocalic r > r realization,4,4,0,there,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:09:32,5,0.91
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,auxiliary verb > isn't,4,4,0,is,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:27:07,2,0.36
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ing ultimas > in,4,4,0,nothing,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:09:42,7,1.27
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ai monophthongization > a:,4,4,0,I,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:11:00,1,0.18
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ai monophthongization > a:,5,5,0,my,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:19:11,2,0.36
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ing ultimas > in,6,6,0,passing,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:19:23,7,1.27
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ai monophthongization > a:,6,6,0,by,romeodetimmerman,2024-05-07 14:10:56,romeodetimmerman,2024-05-07 14:10:56,2,0.36
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ai monophthongization > a:,7,7,0,I,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:20:14,1,0.18
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ai monophthongization > a:,7,7,0,I,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:20:18,1,0.18
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,zero copula > copula realization,8,8,0,that's,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-16 08:47:00,6,1.09
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,post-consonantal t > t deletion,8,8,0,can't,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:20:44,5,0.91
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ai monophthongization > a:,8,8,0,deny ,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:26:12,4,0.72
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ai monophthongization > a:,9,9,0,I,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:20:57,1,0.18
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ai monophthongization > a:,9,9,0,I,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:20:59,1,0.18
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,zero copula > copula realization,10,10,0,that's,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-16 08:47:45,6,1.09
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,post-consonantal t > t realization,10,10,0,can't,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-16 07:58:22,5,0.91
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ai monophthongization > a:,10,10,0,deny ,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:26:02,4,0.72
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ai monophthongization > a:,11,11,0,my,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:22:36,2,0.36
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ing ultimas > in,12,12,0,passing,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-03-04 09:09:11,7,1.27
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ai monophthongization > a:,12,12,0,by ,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:22:57,2,0.36
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ai monophthongization > a:,14,14,0,I,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:23:13,1,0.18
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ai monophthongization > a:,15,15,0,goodbye ,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:26:26,7,1.27
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ai monophthongization > a:,16,16,0,I,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:23:56,1,0.18
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ai monophthongization > a:,17,17,0,goodbye ,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:26:38,7,1.27
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ai monophthongization > a:,18,18,0,my,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:24:08,2,0.36
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ing ultimas > in,19,19,0,passing,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:24:45,7,1.27
●,,1960s_AA > albertking,albertking-sc-as_the_years_go_passing_by,ai monophthongization > a:,19,19,0,by ,romeodetimmerman,2024-04-10 10:15:36,romeodetimmerman,2024-01-15 03:24:40,2,0.36
●,,1960s_AA > albertking,albertking-sc-crosscut_saw,ai monophthongization > a:,2,2,0,I,romeodetimmerman,2024-04-10 10:17:02,romeodetimmerman,2024-01-15 03:29:30,1,0.14
●,,1960s_AA > albertking,albertking-sc-crosscut_saw,post-consonantal t > t deletion,3,3,0,just,romeodetimmerman,2024-04-10 10:17:02,romeodetimmerman,2024-01-15 03:28:56,4,0.55
●,,1960s_AA > albertking,albertking-sc-crosscut_saw,post-vocalic r > r deletion,3,3,0,your,romeodetimmerman,2024-04-10 10:17:02,romeodetimmerman,2024-01-15 03:29:44,4,0.55
●,,1960s_AA > albertking,albertking-sc-crosscut_saw,ai monophthongization > a:,4,4,0,I,romeodetimmerman,2024-04-10 10:17:02,romeodetimmerman,2024-01-15 03:29:52,1,0.14
●,,1960s_AA > albertking,albertking-sc-crosscut_saw,post-consonantal t > t deletion,5,5,0,just,romeodetimmerman,2024-04-10 10:17:02,romeodetimmerman,2024-01-15 03:30:00,4,0.55
●,,1960s_AA > albertking,albertking-sc-crosscut_saw,post-vocalic r > r deletion,5,5,0,your,romeodetimmerman,2024-04-10 10:17:02,romeodetimmerman,2024-01-15 03:30:18,4,0.55
●,,1960s_AA > albertking,albertking-sc-crosscut_saw,ai monophthongization > a:,6,6,0,I,romeodetimmerman,2024-04-10 10:17:02,romeodetimmerman,2024-01-15 03:31:12,1,0.14
●,,1960s_AA > albertking,albertking-sc-crosscut_saw,post-vocalic r > r deletion,6,6,0,your,romeodetimmerman,2024-04-10 10:17:02,romeodetimmerman,2024-01-15 03:31:31,4,0.55
●,,1960s_AA > albertking,albertking-sc-crosscut_saw,post-vocalic r > r deletion,6,6,0,for,romeodetimmerman,2024-04-10 10:17:02,romeodetimmerman,2024-01-15 03:31:40,3,0.41
●,,1960s_AA > albertking,albertking-sc-crosscut_saw,post-consonantal t > t deletion,7,7,0,can't,romeodetimmerman,2024-04-10 10:17:02,romeodetimmerman,2024-01-15 03:31:49,5,0.68
●,,1960s_AA > albertking,albertking-sc-crosscut_saw,ing ultimas > in,8,8,0,chopping,romeodetimmerman,2024-04-10 10:17:02,romeodetimmerman,2024-01-15 03:32:00,8,1.09
●,,1960s_AA > albertking,albertking-sc-crosscut_saw,ing ultimas > in,9,9,0,cutting,romeodetimmerman,2024-04-10 10:17:02,romeodetimmerman,2024-01-15 03:32:05,7,0.96
