Document group,Document name,Beginning,Context,Keyword,Context
1960s_nonAA_US > cannedheat,cannedheat-lc-bring_it_on_home,7,all ,aboard,  well
1960s_nonAA_US > cannedheat,cannedheat-sc-bring_it_on_home,5,all ,aboard,   well
1960s_nonAA_US > cannedheat,cannedheat-sc-bring_it_on_home,18,all ,aboard,   well
1980s_nonAA_US > fabulousthunderbirds,fabulousthunderbirds-sc-wrap_it_up,27,be ,abused,   I
1960s_AA > bbking,bbking-lo-worry_worry,11,on ,account, of
1960s_AA > bbking,bbking-so-worry_worry,7,on ,account, of
1980s_nonAA_US > robbenford,robbenford-so-north_carolina,4,my ,aching, heart
1980s_nonAA_US > robbenford,robbenford-so-north_carolina,4,my ,aching, heart
2010s_nonAA_US > mattschofield,mattschofield-sc-wrapped_up_in_love_again,11,my ,aching, head
2010s_nonAA_US > mattschofield,mattschofield-sc-wrapped_up_in_love_again,11,my ,aching, head
2010s_nonAA_US > mattschofield,mattschofield-so-what_i_wanna_hear,22,from ,aching,   all
2010s_nonAA_US > mattschofield,mattschofield-so-what_i_wanna_hear,22,from ,aching,   all
1960s_nonAA_US > allmanbrothers,allmanbrothers-lo-dont_keep_me_wondering,14,gonna ,act,  and
1960s_nonAA_US > allmanbrothers,allmanbrothers-so-dont_keep_me_wondering,22,gonna ,act,   and
1980s_AA > lutherallison,lutherallison-sc-sweet_home_chicago,33,you ,act, like
1980s_nonAA_nonUS > jeffhealey,jeffhealey-so-river_of_no_return,30,been ,acting, like
1980s_AA > robertcray,robertcray-sc-dont_be_afraid_of_the_dark,15,eyes ,adjust,   don
1960s_AA > muddywaters,muddywaters-lo-ive_got_my_mojo_working,22,me ,advice,  I
1960s_AA > muddywaters,muddywaters-lo-ive_got_my_mojo_working,24,me ,advice,  I
1960s_AA > muddywaters,muddywaters-so-ive_got_my_mojo_working,22,me ,advice,   I
1960s_AA > muddywaters,muddywaters-so-ive_got_my_mojo_working,24,me ,advice,   I
1980s_AA > lutherallison,lutherallison-so-fight,30,my ,advice, throw
1980s_nonAA_nonUS > thebluesband,thebluesband-so-find_yourself_another_fool,18,love ,affair, is
1980s_nonAA_nonUS > thebluesband,thebluesband-so-find_yourself_another_fool,30,love ,affair, is
1960s_AA > jimihendrix,jimihendrix-lc-catfish_blues,8,fishing ,after, me
1960s_AA > jimihendrix,jimihendrix-lc-catfish_blues,8,fishing ,after, me
1960s_AA > jimihendrix,jimihendrix-lc-catfish_blues,9,fishign ,after, me
1960s_AA > jimihendrix,jimihendrix-lc-catfish_blues,9,fishign ,after, me
1960s_AA > jimihendrix,jimihendrix-sc-catfish_blues,8,fishing ,after, me
1960s_AA > jimihendrix,jimihendrix-sc-catfish_blues,8,fishing ,after, me
1960s_AA > jimihendrix,jimihendrix-sc-catfish_blues,9,fishing ,after, me
1960s_AA > jimihendrix,jimihendrix-sc-catfish_blues,9,fishing ,after, me
1960s_AA > jimihendrix,jimihendrix-sc-catfish_blues,10,fishing ,after, me
1960s_AA > jimihendrix,jimihendrix-sc-catfish_blues,10,fishing ,after, me
1960s_AA > muddywaters,muddywaters-lc-rollin_stone,4,fishing ,after, me
1960s_AA > muddywaters,muddywaters-lc-rollin_stone,4,fishing ,after, me
1960s_AA > muddywaters,muddywaters-lc-rollin_stone,5,fishing ,after, me
1960s_AA > muddywaters,muddywaters-lc-rollin_stone,5,fishing ,after, me
1960s_AA > muddywaters,muddywaters-lc-rollin_stone,6,fishing ,after, me
1960s_AA > muddywaters,muddywaters-lc-rollin_stone,6,fishing ,after, me
1960s_AA > muddywaters,muddywaters-sc-rollin_stone,7,fishing ,after, me
1960s_AA > muddywaters,muddywaters-sc-rollin_stone,7,fishing ,after, me
1960s_AA > muddywaters,muddywaters-sc-rollin_stone,8,enough ,after, me
1960s_AA > muddywaters,muddywaters-sc-rollin_stone,8,enough ,after, me
1960s_AA > muddywaters,muddywaters-sc-rollin_stone,9,enough ,after, me
1960s_AA > muddywaters,muddywaters-sc-rollin_stone,9,enough ,after, me
1960s_nonAA_US > cannedheat,cannedheat-lc-catfish_blues,6,fishing ,after,  sure
1960s_nonAA_US > cannedheat,cannedheat-lc-catfish_blues,6,fishing ,after,  sure
1960s_nonAA_US > cannedheat,cannedheat-lc-catfish_blues,7,enough ,after,  sure
1960s_nonAA_US > cannedheat,cannedheat-lc-catfish_blues,7,enough ,after,  sure
1960s_nonAA_US > cannedheat,cannedheat-lc-catfish_blues,8,enough ,after, me
1960s_nonAA_US > cannedheat,cannedheat-lc-catfish_blues,8,enough ,after, me
1960s_nonAA_US > cannedheat,cannedheat-lc-catfish_blues,9,me  ,after, me
1960s_nonAA_US > cannedheat,cannedheat-lc-catfish_blues,9,me  ,after, me
1960s_nonAA_US > cannedheat,cannedheat-sc-catfish_blues,7,fishing ,after,   sure
1960s_nonAA_US > cannedheat,cannedheat-sc-catfish_blues,7,fishing ,after,   sure
1960s_nonAA_US > cannedheat,cannedheat-sc-catfish_blues,8,enough ,after, sure
1960s_nonAA_US > cannedheat,cannedheat-sc-catfish_blues,8,enough ,after, sure
1960s_nonAA_US > cannedheat,cannedheat-sc-catfish_blues,9,enough ,after, me
1960s_nonAA_US > cannedheat,cannedheat-sc-catfish_blues,9,enough ,after, me
1960s_nonAA_US > cannedheat,cannedheat-sc-catfish_blues,10,me   ,after, me
1960s_nonAA_US > cannedheat,cannedheat-sc-catfish_blues,10,me   ,after, me
1980s_nonAA_US > jjcale,jjcale-so-after_midnight,2,intro))   ,after, midnight
1980s_nonAA_US > jjcale,jjcale-so-after_midnight,2,intro))   ,after, midnight
1980s_nonAA_US > jjcale,jjcale-so-after_midnight,4,out   ,after, midnight
1980s_nonAA_US > jjcale,jjcale-so-after_midnight,4,out   ,after, midnight
1980s_nonAA_US > jjcale,jjcale-so-after_midnight,9,about   ,after, midnight
1980s_nonAA_US > jjcale,jjcale-so-after_midnight,9,about   ,after, midnight
1980s_nonAA_US > jjcale,jjcale-so-after_midnight,11,out   ,after, midnight
1980s_nonAA_US > jjcale,jjcale-so-after_midnight,11,out   ,after, midnight
1980s_nonAA_US > jjcale,jjcale-so-after_midnight,13,tambourine   ,after, midnight
1980s_nonAA_US > jjcale,jjcale-so-after_midnight,13,tambourine   ,after, midnight
1980s_nonAA_US > jjcale,jjcale-so-after_midnight,18,about   ,after, midnight
1980s_nonAA_US > jjcale,jjcale-so-after_midnight,18,about   ,after, midnight
1980s_nonAA_US > jjcale,jjcale-so-after_midnight,24,about   ,after, midnight
1980s_nonAA_US > jjcale,jjcale-so-after_midnight,24,about   ,after, midnight
1980s_nonAA_US > jjcale,jjcale-so-after_midnight,26,out   ,after, midnight
1980s_nonAA_US > jjcale,jjcale-so-after_midnight,26,out   ,after, midnight
2010s_AA > garyclarkjr,garyclarkjr-so-next_door_neighbor_blues,20,soon ,after, did
2010s_AA > garyclarkjr,garyclarkjr-so-next_door_neighbor_blues,20,soon ,after, did
2010s_AA > garyclarkjr,garyclarkjr-so-travis_county,24,call   ,after, I
2010s_AA > garyclarkjr,garyclarkjr-so-travis_county,24,call   ,after, I
2010s_nonAA_nonUS > davyknowles,davyknowles-sc-aint_no_grave,18,coming ,after, me
2010s_nonAA_nonUS > davyknowles,davyknowles-sc-aint_no_grave,18,coming ,after, me
2010s_nonAA_nonUS > joanneshawtaylor,joanneshawtaylor-so-ive_been_loving_you_too_long,3,babe ,after, all
2010s_nonAA_nonUS > joanneshawtaylor,joanneshawtaylor-so-ive_been_loving_you_too_long,3,babe ,after, all
2010s_nonAA_nonUS > tinylegstim,tinylegstim-so-cant_win_them_all,12,not ,after, all
2010s_nonAA_nonUS > tinylegstim,tinylegstim-so-cant_win_them_all,12,not ,after, all
2010s_nonAA_US > joebonamassa,joebonamassa-sc-well_i_done_got_over_it,9,but ,after, a
2010s_nonAA_US > joebonamassa,joebonamassa-sc-well_i_done_got_over_it,9,but ,after, a
2010s_nonAA_US > joebonamassa,joebonamassa-so-high_class_girl,29,around ,after, you
2010s_nonAA_US > joebonamassa,joebonamassa-so-high_class_girl,29,around ,after, you
2010s_nonAA_US > joebonamassa,joebonamassa-so-lonesome_road_blues,22,sane ,after, me
2010s_nonAA_US > joebonamassa,joebonamassa-so-lonesome_road_blues,22,sane ,after, me
1960s_AA > albertking,albertking-lc-ill_play_the_blues_for_you,29,I ,ain't, got
1960s_AA > albertking,albertking-lc-ill_play_the_blues_for_you,29,I ,ain't, got
1960s_AA > albertking,albertking-lc-ill_play_the_blues_for_you,30,I ,ain't, no
1960s_AA > albertking,albertking-lc-ill_play_the_blues_for_you,30,I ,ain't, no
1960s_AA > albertking,albertking-lo-oh_pretty_woman,4,powder ,ain't, gonna
1960s_AA > albertking,albertking-lo-oh_pretty_woman,4,powder ,ain't, gonna
