iter	Passed	Remaining
0	13	13308
1	38	19184
2	61	20311
3	84	21137
4	91	18153
5	101	16760
6	114	16211
7	123	15312
8	132	14596
9	138	13704
10	147	13259
11	153	12628
12	161	12265
13	168	11894
14	173	11421
15	179	11033
16	197	11409
17	205	11193
18	216	11180
19	223	10975
20	233	10899
21	241	10742
22	249	10587
23	258	10493
24	264	10330
25	271	10176
26	279	10084
27	288	10027
28	297	9953
29	305	9883
30	315	9861
31	323	9783
32	331	9714
33	339	9648
34	347	9573
35	354	9503
36	363	9454
37	371	9393
38	383	9456
39	393	9442
40	401	9387
41	409	9345
42	421	9373
43	431	9379
44	440	9339
45	447	9284
46	457	9273
47	465	9229
48	476	9243
49	484	9201
50	492	9157
51	501	9144
52	510	9121
53	520	9116
54	530	9111
55	534	9008
56	542	8981
57	552	8970
58	561	8947
59	569	8919
60	577	8892
61	586	8880
62	596	8878
63	605	8858
64	614	8833
65	622	8805
66	631	8800
67	639	8767
68	647	8736
69	657	8736
70	667	8739
71	676	8716
72	685	8705
73	694	8695
74	703	8676
75	713	8680
76	721	8645
77	731	8645
78	739	8624
79	748	8607
80	758	8607
81	769	8618
82	778	8605
83	787	8584
84	797	8587
85	808	8588
86	816	8568
87	827	8578
88	836	8561
89	845	8551
90	855	8541
91	865	8537
92	873	8520
93	886	8547
94	896	8543
95	905	8528
96	914	8510
97	925	8516
98	933	8497
99	941	8476
100	950	8456
101	959	8448
102	971	8462
103	979	8436
104	986	8412
105	994	8387
106	1005	8393
107	1013	8374
108	1023	8362
109	1030	8338
110	1041	8341
111	1053	8354
112	1058	8306
113	1068	8307
114	1078	8299
115	1090	8307
116	1099	8297
117	1108	8287
118	1121	8302
119	1130	8289
120	1136	8256
121	1144	8237
122	1152	8214
123	1161	8204
124	1172	8207
125	1182	8198
126	1189	8177
127	1197	8157
128	1209	8168
129	1218	8151
130	1224	8125
131	1236	8133
132	1245	8116
133	1249	8076
134	1259	8067
135	1267	8053
136	1275	8033
137	1283	8017
138	1291	8000
139	1301	7996
140	1311	7987
141	1322	7991
142	1325	7943
143	1335	7938
144	1345	7931
145	1356	7931
146	1365	7925
147	1373	7909
148	1382	7895
149	1392	7891
