iter	Logloss
0	0.6912999945
1	0.6893667596
2	0.6879445033
3	0.6862605955
4	0.6848048704
5	0.6832217683
6	0.681323529
7	0.6797201319
8	0.6778868637
9	0.6760272805
10	0.6742743974
11	0.6724125522
12	0.670942498
13	0.6690053949
14	0.6671945031
15	0.6652907331
16	0.6634443327
17	0.6629627052
18	0.6612980167
19	0.6595604712
20	0.6578185516
21	0.6566829497
22	0.6551182675
23	0.6534025174
24	0.6517043498
25	0.6499643782
26	0.6481484126
27	0.6464295931
28	0.6450476445
29	0.643281807
30	0.6415616063
31	0.6398572233
32	0.6382049982
33	0.6368716086
34	0.6352031992
35	0.6336205786
36	0.632099062
37	0.630407585
38	0.6289841228
39	0.6274014958
40	0.6258635159
41	0.6246032167
42	0.6231003639
43	0.621501668
44	0.6200790352
45	0.6185337458
46	0.617330086
47	0.6162355118
48	0.6148530738
49	0.6132659553
50	0.6120697998
51	0.6105676068
52	0.6090539999
53	0.6076864812
54	0.6060343492
55	0.6044699351
56	0.6030772828
57	0.6018696926
58	0.600499428
59	0.59900747
60	0.5979702065
61	0.5965722196
62	0.5950071411
63	0.5936269633
64	0.5922197065
65	0.5910562889
66	0.5894931484
67	0.5886679994
68	0.5873058476
69	0.5857884762
70	0.584521739
71	0.5841212167
72	0.5827004926
73	0.5812586785
74	0.5802376278
75	0.578813012
76	0.5773642638
77	0.5758656786
78	0.5744233142
79	0.5741115995
80	0.5727866435
81	0.571390144
82	0.5701788627
83	0.5687876694
84	0.5675542217
85	0.5661748341
86	0.5650681594
87	0.5638862228
88	0.5628820272
89	0.5615585316
90	0.5603585158
91	0.5592501766
92	0.5581010525
93	0.5568820225
94	0.5557698124
95	0.5550570159
96	0.5540093939
97	0.5527324167
98	0.551838573
99	0.5506726212
100	0.5495881395
101	0.5485487612
102	0.5473290585
103	0.5462210819
104	0.5452338405
105	0.5443021027
106	0.543075364
107	0.5420072515
108	0.5408796705
109	0.5397275919
110	0.5390377149
111	0.537834621
112	0.5366423441
113	0.5354395442
114	0.534379535
115	0.5331863922
116	0.5320552398
117	0.5309328793
118	0.5298808942
119	0.5288636642
120	0.527776252
121	0.5266449932
122	0.5260518501
123	0.5250127024
124	0.5240875152
125	0.5231122872
126	0.5220654968
127	0.5211175392
128	0.5201443475
129	0.5191602421
130	0.5178008728
131	0.5160824161
132	0.5146427544
133	0.5131450282
134	0.5115589309
135	0.5101014993
136	0.5085824665
137	0.5069840709
138	0.5054970301
139	0.5052959332
140	0.5040966854
141	0.5026337801
142	0.5011360885
143	0.5001337585
144	0.4988042945
145	0.4974437757
146	0.4960959438
147	0.4945761965
148	0.4936315994
149	0.4927687608
150	0.4913431554
151	0.4900203653
152	0.4887244323
153	0.4873007929
154	0.485893401
155	0.484504701
156	0.4831196158
157	0.4817564968
158	0.4809599486
159	0.479553737
160	0.4783029408
161	0.4770958913
162	0.4758701541
163	0.4745904621
164	0.4733963254
165	0.4722833691
166	0.4710778151
167	0.4698391296
168	0.4688842471
169	0.4676216604
170	0.4663555643
171	0.4651550884
172	0.4641950429
173	0.4629811548
174	0.4617279808
175	0.4604621793
176	0.4597471701
177	0.4585587142
178	0.4574302397
179	0.4563199926
180	0.4552585356
181	0.454085462
182	0.4529816151
183	0.4518928147
184	0.4507903622
185	0.4502135503
186	0.4490121977
187	0.4480928683
188	0.4470221385
189	0.445909898
190	0.4447260207
191	0.443774061
192	0.4426795898
193	0.4415857559
194	0.4405220331
195	0.4394817317
196	0.4387257239
197	0.4377160377
198	0.436705888
199	0.4359424367
200	0.4349528855
201	0.434831122
202	0.4338616112
203	0.4328892786
204	0.4319415627
205	0.4307992566
206	0.4297447242
207	0.429041423
208	0.4282163261
209	0.4271492546
210	0.4260449059
211	0.425062338
212	0.4239771393
213	0.4229270848
214	0.4220473568
215	0.4210575842
216	0.4199833998
217	0.419168085
218	0.4183089705
219	0.4172696354
220	0.41620745
221	0.4153889595
222	0.4146153354
223	0.413661802
224	0.41271591
225	0.4117078985
226	0.4107229535
227	0.4097023652
228	0.4086772678
229	0.4079142798
230	0.4071675371
231	0.4062581105
232	0.4052511799
233	0.4044088869
234	0.4034484047
235	0.4025027645
236	0.4015169679
237	0.4005731123
238	0.3998544357
239	0.398934175
240	0.3980576856
241	0.3970651657
242	0.3961833226
243	0.3953475742
244	0.3943854279
245	0.3935877103
246	0.3925739501
247	0.3916615569
