iter	Passed	Remaining
0	20	20663
1	41	20934
2	47	15913
3	53	13340
4	58	11647
5	65	10907
6	86	12237
7	91	11309
8	103	11409
9	123	12217
10	128	11569
11	145	11954
12	152	11606
13	174	12280
14	190	12495
15	206	12678
16	222	12837
17	227	12403
18	237	12247
19	244	12002
20	250	11673
21	254	11308
22	262	11147
23	280	11410
24	296	11548
25	315	11822
26	325	11739
27	333	11571
28	338	11328
29	347	11240
30	363	11347
31	373	11289
32	385	11290
33	393	11180
34	410	11323
35	428	11481
36	436	11369
37	454	11499
38	461	11379
39	468	11254
40	474	11103
41	480	10949
42	492	10965
43	500	10882
44	509	10809
45	528	10957
46	532	10800
47	538	10680
48	554	10763
49	573	10897
50	578	10762
51	597	10898
52	615	10994
53	632	11085
54	649	11158
55	666	11239
56	671	11116
57	680	11057
58	687	10964
59	705	11054
60	710	10934
61	717	10853
62	734	10931
63	749	10968
64	764	10994
65	773	10940
66	790	11011
67	796	10921
68	813	10981
69	837	11121
70	845	11063
71	849	10948
72	867	11011
73	883	11058
74	889	10970
75	907	11027
76	923	11067
77	941	11130
78	960	11193
79	963	11085
80	985	11185
81	996	11156
82	1014	11205
83	1034	11285
84	1045	11249
85	1064	11318
86	1071	11239
87	1081	11208
88	1087	11134
89	1104	11170
90	1121	11205
91	1129	11145
92	1145	11172
93	1165	11231
94	1172	11173
95	1177	11089
96	1186	11041
97	1206	11102
98	1212	11036
99	1223	11008
100	1231	10965
101	1238	10902
102	1256	10944
103	1273	10973
104	1281	10925
105	1291	10890
106	1301	10865
107	1316	10875
108	1324	10830
109	1340	10849
110	1345	10779
111	1363	10809
112	1380	10836
113	1398	10868
114	1407	10834
115	1426	10870
116	1447	10926
117	1465	10951
118	1480	10963
119	1499	10992
120	1518	11027
121	1534	11045
122	1539	10974
123	1551	10959
124	1562	10935
125	1578	10948
126	1590	10933
127	1610	10970
128	1620	10941
129	1637	10961
130	1646	10923
131	1663	10941
132	1672	10902
133	1687	10908
134	1707	10940
135	1721	10938
136	1739	10957
137	1758	10983
138	1772	10980
139	1776	10912
140	1794	10934
141	1813	10957
142	1832	10981
143	1839	10936
144	1846	10889
145	1857	10865
146	1866	10829
147	1883	10842
148	1890	10795
149	1897	10754
150	1914	10766
151	1922	10728
152	1939	10736
153	1955	10744
154	1973	10756
155	1990	10766
156	2006	10773
157	2025	10791
158	2048	10835
159	2071	10875
160	2080	10842
161	2088	10800
162	2105	10810
163	2121	10815
164	2129	10778
165	2136	10736
166	2147	10710
167	2167	10734
168	2177	10705
169	2195	10718
170	2212	10727
171	2229	10734
172	2236	10689
173	2254	10700
174	2272	10713
175	2289	10718
176	2294	10670
177	2312	10678
178	2332	10696
179	2348	10700
180	2359	10677
181	2376	10681
182	2396	10699
183	2415	10712
184	2436	10731
185	2440	10679
186	2457	10684
187	2468	10662
188	2484	10661
189	2507	10691
190	2526	10702
191	2536	10672
192	2554	10681
193	2574	10695
194	2600	10735
195	2621	10751
196	2628	10712
197	2645	10716
198	2659	10703
199	2678	10715
200	2698	10727
201	2702	10676
202	2721	10685
203	2743	10705
204	2762	10714
205	2783	10729
206	2801	10730
207	2813	10713
208	2821	10679
209	2842	10693
210	2863	10706
211	2883	10717
212	2900	10717
213	2920	10727
214	2930	10698
215	2938	10666
216	2956	10669
217	2965	10638
218	2987	10653
219	3006	10658
220	3025	10663
221	3043	10667
222	3064	10676
223	3086	10691
224	3110	10714
225	3138	10749
226	3158	10757
227	3179	10765
228	3201	10777
229	3208	10742
230	3214	10699
231	3234	10708
232	3260	10731
233	3278	10731
234	3299	10742
235	3320	10748
236	3341	10757
237	3360	10758
238	3379	10761
239	3403	10778
240	3426	10791
241	3446	10794
242	3466	10799
243	3486	10802
244	3509	10815
245	3529	10819
246	3551	10826
247	3573	10836
