iter	Logloss
0	0.6395646778
1	0.5896157316
2	0.5554893391
3	0.5121094213
4	0.4874620598
5	0.4589125408
6	0.4266460099
7	0.4028855801
8	0.3818009164
9	0.361714023
10	0.3497770954
11	0.3421173485
12	0.329370435
13	0.3197012918
14	0.3113715852
15	0.3037062009
16	0.2989871992
17	0.2921563554
18	0.2900038942
19	0.2843110571
20	0.2810383913
21	0.2763523114
22	0.274260466
23	0.2713848796
24	0.2687098287
25	0.2658129871
26	0.2631657375
27	0.2599477971
28	0.2580435682
29	0.2554441431
30	0.2526551534
31	0.2502393389
32	0.2475802422
33	0.2464545923
34	0.2455191855
35	0.242945268
36	0.2408486841
37	0.2389131579
38	0.2375367619
39	0.2372637693
40	0.2358764292
41	0.2347151624
42	0.2334785973
43	0.2324631692
44	0.2311531904
45	0.2307565749
46	0.2301506299
47	0.2289945347
48	0.2283773311
49	0.2279510945
50	0.2273799582
51	0.2269069773
52	0.2267144863
53	0.2260383046
54	0.2257333742
55	0.225063295
56	0.2243981335
57	0.2239320997
58	0.2235490671
59	0.2232209174
60	0.2230730884
61	0.2227700731
62	0.221932951
63	0.2219063441
64	0.2215815322
65	0.2214541625
66	0.2213023648
67	0.2211217705
68	0.220970659
69	0.2207165332
70	0.2203886025
71	0.2201749365
72	0.2198191099
73	0.2195227932
74	0.2194170929
75	0.2193012669
76	0.219251229
77	0.2188805831
78	0.2187427931
79	0.2183665051
80	0.2179004505
81	0.2179004128
82	0.2176290971
83	0.2174595552
84	0.2173073865
85	0.2170693392
86	0.2170611759
87	0.2169232072
88	0.2168078885
89	0.2165417849
90	0.216169409
91	0.2159429052
92	0.2158668504
93	0.2157094682
94	0.2157094555
95	0.2155266099
96	0.21516762
97	0.2150272603
98	0.2149288663
99	0.2147105391
100	0.2141397723
101	0.2141312573
102	0.2138298336
103	0.2136953654
104	0.2135812039
105	0.2134277832
106	0.2131117431
107	0.2128670047
108	0.2124436588
109	0.2119921511
110	0.2118408509
111	0.2116251397
112	0.211578679
113	0.2114750792
114	0.2113121463
115	0.2110703389
116	0.2109390407
117	0.2105725085
118	0.2102940617
119	0.210294038
120	0.2102072311
121	0.2100335966
122	0.2098844434
123	0.2095966496
124	0.2094983463
125	0.2092049907
126	0.209202794
127	0.2091908722
128	0.2089945193
129	0.2087753766
130	0.2086347832
131	0.2084641006
132	0.2082313285
133	0.2081389203
134	0.2079883885
135	0.2077452918
136	0.2077272757
137	0.207510661
138	0.2074435707
139	0.2074011879
140	0.2072095614
141	0.2070464664
142	0.2069875225
143	0.2068018917
144	0.2065973609
145	0.2062863063
146	0.2061201993
147	0.206030826
148	0.205872591
149	0.2057603216
150	0.2055769069
151	0.2052881753
152	0.205155666
153	0.2049477788
154	0.2049362333
155	0.2047667828
156	0.2044302079
157	0.2041400997
158	0.2039758937
159	0.2038923721
160	0.2038604196
161	0.2036466677
162	0.2033741752
163	0.2032964593
164	0.2031480516
165	0.2029951135
166	0.2028034494
167	0.202616545
168	0.2023403725
169	0.2020858509
170	0.2020367171
171	0.2018765876
172	0.2016646008
173	0.2014058319
174	0.2012755864
175	0.2011868747
176	0.2010662112
177	0.2009155986
178	0.2008952968
179	0.2008025307
180	0.2007704263
181	0.2006451265
182	0.2005722319
183	0.2001790956
184	0.2000073056
185	0.1998888827
186	0.1996703787
187	0.1994819737
188	0.199357216
189	0.1992008332
190	0.1990293235
191	0.1989322912
192	0.1987575218
193	0.1987558189
194	0.1986398196
195	0.1985498123
196	0.1984321726
197	0.198343479
198	0.1982866645
199	0.1982745786
200	0.1981480151
201	0.197919308
202	0.1976765771
203	0.1975963096
204	0.1974697576
205	0.1973154013
206	0.1971395646
207	0.1970085518
208	0.1969348832
209	0.1967486993
210	0.1966201826
211	0.1964658407
212	0.1962968814
213	0.196277431
214	0.1961100943
215	0.1959049599
216	0.1957463105
217	0.1956017986
218	0.195456947
219	0.1953589821
220	0.1952776036
221	0.1952356836
222	0.1950930102
223	0.1949621674
224	0.1948866308
225	0.1947047243
226	0.194596846
227	0.1944665787
228	0.1942838848
229	0.1941395944
230	0.1940282319
231	0.1939501744
232	0.1937952037
233	0.1936326638
234	0.1935041722
235	0.1933443795
236	0.1933427127
237	0.1931626111
238	0.1931084645
239	0.1930471988
240	0.1929427792
241	0.1928322365
242	0.1927850262
243	0.1927128414
244	0.1926418821
245	0.1924847587
246	0.1923480126
247	0.1922088916
248	0.1921363165
249	0.1919871154
250	0.1918122745
251	0.1916777875
252	0.1914405688
253	0.19132058
254	0.1912902415
255	0.1911547264
256	0.1911147194
257	0.1910189786
258	0.1909141286
259	0.1908903764
260	0.1908875818
261	0.1908855982
262	0.190790936
263	0.1907276109
264	0.1905961351
265	0.1905129617
266	0.1903308949
267	0.1902733198
268	0.1900912146
269	0.1900911988
270	0.1900390312
271	0.1899426288
272	0.1898615107
273	0.1897596601
274	0.189540599
275	0.1894833643
276	0.1894522783
277	0.1892413629
278	0.1891058967
279	0.1890513838
280	0.1888932956
281	0.1888245193
282	0.1886277019
283	0.1885609181
284	0.1884252138
285	0.188270415
286	0.1881028609
287	0.1879673711
288	0.1879212015
289	0.18782305
290	0.1877208405
291	0.1876428206
292	0.1875238485
293	0.1874151507
294	0.187295413
295	0.1871267219
296	0.187105891
297	0.186970938
298	0.1869693217
299	0.186802134
300	0.1867227966
301	0.1866268663
302	0.1865861983
303	0.1864111971
304	0.1863103503
305	0.1862423391
306	0.1861927545
307	0.1860446973
308	0.1859177539
309	0.1858845689
310	0.1858721758
311	0.1858296124
312	0.1856684285
313	0.185569629
314	0.1855068842
315	0.1852942209
316	0.1851475842
317	0.1850168656
318	0.1849097043
319	0.1848466152
320	0.1847329331
321	0.184609605
322	0.1845333462
323	0.1844237355
324	0.1842924235
325	0.184131189
326	0.1840332163
327	0.1839535356
328	0.1838926453
329	0.1837850629
330	0.1837104399
331	0.1836949866
332	0.183524138
333	0.1833602489
334	0.1832978551
335	0.1830837377
336	0.1829829795
337	0.1828427311
338	0.1827329738
339	0.1826220687
340	0.1824407916
341	0.1822115189
342	0.1820594702
343	0.1819636708
344	0.1818631392
345	0.1817960694
346	0.1816937689
347	0.181628316
348	0.1814785789
349	0.18140444
350	0.1813119988
351	0.1812049929
352	0.1810817688
353	0.1809245271
354	0.1808587137
355	0.1806924332
356	0.1806222743
357	0.180511819
358	0.1804436441
359	0.1803421388
360	0.1802271991
361	0.1801149543
362	0.1800446347
363	0.1799797981
364	0.1798880786
365	0.1797482811
366	0.1796430115
367	0.1796231942
368	0.1794860953
369	0.179425572
370	0.1794089166
371	0.1792104487
372	0.1791177056
373	0.1790932055
374	0.1789932851
375	0.1788560795
376	0.1787633179
377	0.1786209353
378	0.1785085449
379	0.1784080297
380	0.1782778971
381	0.1781303661
382	0.178035561
383	0.1779859661
384	0.1779507002
385	0.1778813702
386	0.1777227978
387	0.1775716224
388	0.1775420666
389	0.1774194435
390	0.177336652
391	0.1772010401
392	0.1771151756
393	0.1770265586
394	0.176883795
395	0.1767846568
396	0.176640014
397	0.1765498811
398	0.1765240544
399	0.1764376451
400	0.176316655
401	0.1762372452
402	0.1761918396
403	0.1760772445
404	0.175936801
405	0.1758948446
406	0.175695411
407	0.1756263061
408	0.1755751029
409	0.1754295359
410	0.1753324231
411	0.1752919585
412	0.1752261236
413	0.1751332062
414	0.1750464407
415	0.1749530275
416	0.1748833725
417	0.1748090391
418	0.1747459135
419	0.174614883
420	0.1745330553
421	0.1744098052
422	0.1743376441
423	0.1742522195
424	0.174140171
425	0.1740208528
426	0.173996838
427	0.1739188296
428	0.173815556
429	0.1737481519
430	0.1736689777
431	0.1736138388
432	0.173483203
433	0.1734324321
434	0.1733573895
435	0.1733026531
436	0.1731874074
437	0.1730464776
438	0.1729916765
439	0.1729590227
440	0.1728578512
441	0.1727892795
442	0.1726757889
443	0.1724920488
444	0.1723834226
445	0.1723322983
446	0.1721976208
447	0.1721473377
448	0.1720740239
449	0.1719512159
450	0.1718538134
451	0.1717567512
452	0.1717353286
453	0.1716498275
454	0.1716276082
455	0.1714648049
456	0.1713628986
457	0.1713010295
458	0.1712316295
459	0.1711059405
460	0.1710376198
461	0.1708986976
462	0.1708473631
463	0.1708005433
464	0.170707049
465	0.1706062495
466	0.1704580184
467	0.1703548163
468	0.1703548114
469	0.1702716993
470	0.1702151498
471	0.1701834151
472	0.1700735371
473	0.1700148639
474	0.169865346
475	0.169789952
476	0.1697519302
477	0.1696084826
478	0.169521342
479	0.169447476
480	0.1693686078
481	0.1692569028
482	0.1692137358
483	0.1691673883
484	0.1691380091
485	0.1690493728
486	0.1690116847
487	0.1688777905
488	0.1687777493
489	0.1687377776
490	0.1686501294
491	0.1685457191
492	0.1684696664
493	0.1684316417
494	0.1683387951
495	0.1682575414
496	0.1681767711
497	0.1680568725
498	0.167979396
499	0.1679212307
500	0.1678317833
501	0.1677684322
502	0.1676881224
503	0.1676676547
504	0.1676408885
505	0.1675450944
506	0.1674621623
507	0.1674052953
508	0.1673276368
509	0.1672203461
510	0.167122799
511	0.1669980806
512	0.1669275097
513	0.1668535536
514	0.1667290597
515	0.1666963986
516	0.1665883183
517	0.1664776264
518	0.1663674014
519	0.1662561849
520	0.1662122042
521	0.166147088
522	0.1660637721
523	0.1660105383
524	0.1659340619
525	0.1658236291
526	0.1657558868
527	0.1656945332
528	0.1656754432
529	0.1655313704
530	0.1654313259
531	0.1653156079
532	0.1652033967
533	0.1651655088
534	0.1650701878
535	0.165013692
536	0.1649406878
537	0.1648802601
538	0.1647921213
539	0.1647225038
540	0.1646347518
541	0.1645813934
542	0.1643997876
543	0.1643190025
544	0.1642289519
545	0.1641630561
546	0.1640724376
547	0.1640025944
548	0.1639233709
549	0.163886238
550	0.1637814823
551	0.1636762575
552	0.163564521
553	0.1633600237
554	0.1632149541
555	0.1631299812
556	0.1630734278
557	0.1630322511
558	0.1629506055
559	0.1628061087
560	0.1627757106
561	0.1627088513
562	0.1626031018
563	0.1625086502
564	0.1624924143
565	0.1624123145
566	0.1623267163
567	0.1622633241
568	0.1621415491
569	0.1620760884
570	0.1620337271
571	0.1619166171
572	0.1618285852
573	0.1617308465
574	0.1616526869
575	0.1616021631
576	0.1615502957
577	0.1614557509
578	0.1614314066
579	0.1613591993
580	0.1613111161
581	0.1612451762
582	0.1612100496
583	0.1611399017
584	0.1610995636
585	0.1610599877
586	0.1610318255
587	0.1610061205
588	0.1608800532
589	0.1607852991
590	0.1607119145
591	0.160595609
592	0.1605502386
593	0.1603758169
594	0.1602688716
595	0.1602138427
596	0.1601553111
597	0.1601318459
598	0.1600529788
599	0.1599433376
600	0.1599212951
601	0.1598401198
602	0.1597585866
603	0.1597014778
604	0.1595978024
605	0.1595413787
606	0.1594304136
607	0.1594052879
608	0.1593436113
609	0.1592850955
610	0.1592010496
611	0.1590296574
612	0.1589430782
613	0.1588417114
614	0.1587916003
615	0.1587468388
616	0.1586911682
617	0.1586368936
618	0.158587783
619	0.1585193767
620	0.1584514199
621	0.1583433125
622	0.1582649657
623	0.1582074123
624	0.1581474873
625	0.1581169713
626	0.157980275
627	0.1579013281
628	0.1578793233
629	0.1578210797
630	0.1578210794
631	0.1577739261
632	0.1577056679
633	0.1576419091
634	0.1576179356
635	0.1575961299
636	0.1574546161
637	0.1573892014
638	0.157297574
639	0.1571892783
640	0.1571126481
641	0.1569430902
642	0.1568720332
643	0.1568073136
644	0.1567758259
645	0.1566909792
646	0.1566714684
647	0.1566316414
648	0.1565356545
649	0.1564764139
650	0.1563907877
651	0.156363369
652	0.1563282154
653	0.156299671
654	0.156218039
655	0.1561938953
656	0.156110332
657	0.155980428
658	0.1559243625
659	0.1558683152
660	0.1557971709
661	0.1557448284
662	0.1556655481
663	0.1555908409
664	0.1555140398
665	0.1554721672
666	0.1554418757
667	0.1554090866
668	0.1552769676
669	0.1552130986
670	0.1550800095
671	0.1550424611
672	0.1549551018
673	0.1549287192
674	0.1548263644
675	0.15471258
676	0.1546192963
677	0.154560196
678	0.1545158706
679	0.1544413487
680	0.1543551932
681	0.1542793634
682	0.1541914759
683	0.1541425462
684	0.1540579022
685	0.1539954907
686	0.153923499
687	0.153881188
688	0.1537903432
689	0.1537005567
690	0.1536458019
691	0.1535923616
692	0.1534643132
693	0.1533202707
694	0.1533103677
695	0.1532011432
696	0.1531265529
697	0.1529881356
698	0.1529133801
699	0.1528976897
700	0.1528129548
701	0.1527571672
702	0.1527222559
703	0.152678925
704	0.1526293851
705	0.1525869653
706	0.1525277572
707	0.1524579614
708	0.1523697838
709	0.1523389916
710	0.1523063168
711	0.1522882842
712	0.1521405207
713	0.1520649604
714	0.1520066865
715	0.1518633523
716	0.1518331645
717	0.151736816
718	0.151648803
719	0.1516300679
720	0.1515641382
721	0.1514243362
722	0.1513042785
723	0.1512331237
724	0.1511061059
725	0.1510310976
726	0.1509599142
727	0.1509190325
728	0.1507868387
729	0.1507426204
730	0.1506046121
731	0.1505365739
732	0.1504381856
733	0.150367414
734	0.1502912516
735	0.1502583626
736	0.1501928713
737	0.1501532313
738	0.150063574
739	0.1499486765
740	0.1499486749
741	0.1499026641
742	0.1498084842
743	0.1497572755
744	0.1496930189
745	0.1496528787
746	0.1495622333
747	0.1495203688
748	0.149446777
749	0.149397568
750	0.1493441739
751	0.149314787
752	0.1492072986
753	0.1491200096
754	0.1490030115
755	0.1489632577
